pre	post	weight
Roar	Call Me Maybe (Instrumental)	0.67251341318475544
Roar	Tongue Tied	0.46268676846018242
Roar	Till The World Ends	0.46003109380996365
Roar	Wild Ones (feat. Sia) [J.O.B rock rework]	0.5182293210287322
Roar	Lights (Single Version)	0.49095142701423172
Roar	Only Girl (In The World)	0.64578089096728142
Roar	Womanizer	0.61574225548967276
Roar	On The Floor	0.52984991482033328
Roar	Since U Been Gone	0.41531321701071389
Roar	Treasure	0.75165172326053575
Roar	Applause	0.59383438597102756
Roar	The Edge Of Glory	0.70914138798433146
Roar	Overprotected (Darkchild Remix Edit)	0.69090236315484799
Call Me Maybe (Instrumental)	Roar	0.67251341318475544
Call Me Maybe (Instrumental)	Raise Your Glass	0.56940564768127311
Call Me Maybe (Instrumental)	Till The World Ends	0.61377549621674798
Call Me Maybe (Instrumental)	Womanizer	0.51498169807906091
Call Me Maybe (Instrumental)	On The Floor	0.67951172419689887
Call Me Maybe (Instrumental)	Since U Been Gone	0.60303836729360683
Call Me Maybe (Instrumental)	Applause	0.71666351535776707
Call Me Maybe (Instrumental)	The Edge Of Glory	0.71647275930301824
Don't Stop the Party	Raise Your Glass	0.67458584322303583
Don't Stop the Party	Lights (Single Version)	0.33988455650574134
Don't Stop the Party	Only Girl (In The World)	0.40603355620991072
Don't Stop the Party	The Way You Make Me Feel	0.74164994413494678
Don't Stop the Party	On The Floor	0.37451750191455929
Don't Stop the Party	Since U Been Gone	0.71636377862359812
Don't Stop the Party	Treasure	0.36576199731444375
Don't Stop the Party	Applause	0.45773711398115557
Don't Stop the Party	Overprotected (Darkchild Remix Edit)	0.36873877178594239
Don't Stop the Party	Wanna Be Startin' Somethin'	0.38553725731702121
Raise Your Glass	Call Me Maybe (Instrumental)	0.56940564768127311
Raise Your Glass	Don't Stop the Party	0.67458584322303583
Raise Your Glass	Die Young	0.54348739046891725
Raise Your Glass	Party In The U.S.A.	0.59823127496407658
Raise Your Glass	Lights (Single Version)	0.65409014175606517
Raise Your Glass	On The Floor	0.59065992459588723
Raise Your Glass	Since U Been Gone	0.72213094909653885
Raise Your Glass	Treasure	0.53449154091079576
Raise Your Glass	Applause	0.56052340570615433
Raise Your Glass	The Edge Of Glory	0.74627929348684408
Raise Your Glass	Overprotected (Darkchild Remix Edit)	0.75822849138076509
Tongue Tied	Roar	0.46268676846018242
Tongue Tied	Till The World Ends	0.38610905255052952
Tongue Tied	Wild Ones (feat. Sia) [J.O.B rock rework]	0.33407745031134084
Tongue Tied	Lights (Single Version)	0.52884419922048875
Tongue Tied	Only Girl (In The World)	0.52670216496643341
Tongue Tied	Womanizer	0.65391385727085827
Tongue Tied	The Way You Make Me Feel	0.75059543251612837
Tongue Tied	On The Floor	0.54919262045223427
Tongue Tied	Since U Been Gone	0.4201446107171547
Tongue Tied	Applause	0.62231390705424183
Tongue Tied	The Edge Of Glory	0.75970911151139064
Super Bass	Die Young	0.7056631071341507
Super Bass	Party In The U.S.A.	0.60537262227802846
Till The World Ends	Roar	0.46003109380996365
Till The World Ends	Call Me Maybe (Instrumental)	0.61377549621674798
Till The World Ends	Tongue Tied	0.38610905255052952
Till The World Ends	Wild Ones (feat. Sia) [J.O.B rock rework]	0.24955277505311177
Till The World Ends	Lights (Single Version)	0.52280854883640493
Till The World Ends	Only Girl (In The World)	0.60654808939888927
Till The World Ends	Womanizer	0.29320601013730901
Till The World Ends	The Way You Make Me Feel	0.5066202585493329
Till The World Ends	On The Floor	0.44981909019733485
Till The World Ends	Since U Been Gone	0.15495194161869266
Till The World Ends	Applause	0.47530670011346265
Till The World Ends	The Edge Of Glory	0.60969538354411534
Die Young	Raise Your Glass	0.54348739046891725
Die Young	Super Bass	0.7056631071341507
Die Young	Party In The U.S.A.	0.48478251110637238
Die Young	The Edge Of Glory	0.75598051606009964
